rsn,eqid,ssn,eqX,eqY,staX,staY,zoneUTM,dc_0_mean,Lc_ca_mean,dc_0_med,Lc_ca_med,dc_0_unc,Lc_ca_unc
1,38,0,292.2609771757026,3909.816818957042,128.51496790687293,3913.739001202812,54.0,0.10144833133620683,-1.8149704294034466,0.10143699603540929,-1.8185910801411296,0.017583183067157993,0.3873266402527732
2,25,0,264.330530090726,3842.899620060988,128.51496790687293,3913.739001202812,54.0,0.10144833133620683,-1.619132136262906,0.10143699603540929,-1.6232626171481257,0.017583183067157993,0.4101121234996512
3,53,1,275.4374088407163,3843.51011953928,154.50504546553583,3901.5896026139903,54.0,0.10144833133620683,-1.3390806580337271,0.10143699603540929,-1.3443429315165865,0.017583183067157993,0.34597262959668046
4,38,1,292.2609771757026,3909.816818957042,154.50504546553583,3901.5896026139903,54.0,0.10144833133620683,-1.537124129104888,0.10143699603540929,-1.5406891247011012,0.017583183067157993,0.31628611732986706
5,25,1,264.330530090726,3842.899620060988,154.50504546553583,3901.5896026139903,54.0,0.10144833133620683,-1.2979287557882921,0.10143699603540929,-1.3023751018738043,0.017583183067157993,0.3290709196380816
6,38,2,292.2609771757026,3909.816818957042,182.17667623346983,3902.5741380529994,54.0,0.10144833133620683,-1.2816194737608204,0.10143699603540929,-1.2840107983344298,0.017583183067157993,0.24472523971696059
7,28,2,181.0656949265822,4007.0767963031503,182.17667623346983,3902.5741380529994,54.0,0.10144833133620683,-1.2796785815990734,0.10143699603540929,-1.2786917601792358,0.017583183067157993,0.26003145198988287
8,25,2,264.330530090726,3842.899620060988,182.17667623346983,3902.5741380529994,54.0,0.10144833133620683,-0.9678886316104519,0.10143699603540929,-0.9737694012051121,0.017583183067157993,0.2479626135390812
9,53,2,275.4374088407163,3843.51011953928,182.17667623346983,3902.5741380529994,54.0,0.10144833133620683,-1.0062519059783648,0.10143699603540929,-1.0126483202582466,0.017583183067157993,0.263941834285749
10,38,3,292.2609771757026,3909.816818957042,187.83731878982752,3889.567114997888,54.0,0.10144833133620683,-1.1639854862849925,0.10143699603540929,-1.1693510069984396,0.017583183067157993,0.23173636812402085
11,25,3,264.330530090726,3842.899620060988,187.83731878982752,3889.567114997888,54.0,0.10144833133620683,-0.8809091795479518,0.10143699603540929,-0.8845198405782375,0.017583183067157993,0.22482215967893743
12,25,4,264.330530090726,3842.899620060988,143.10717359488643,3838.030342010029,54.0,0.10144833133620683,-1.6303951398677659,0.10143699603540929,-1.6324305598833275,0.017583183067157993,0.3654675150271192
13,21,5,103.34699834515416,4117.964937310308,139.77999744006962,3872.595402570746,54.0,0.10144833133620683,-2.472827929497059,0.10143699603540929,-2.4724692482319535,0.017583183067157993,0.7147374159503119
14,18,5,97.03457460542091,3675.453369364249,139.77999744006962,3872.595402570746,54.0,0.10144833133620683,-1.7914341984062554,0.10143699603540929,-1.7729912186844219,0.017583183067157993,0.6708058499125685
15,18,6,81.55980152094574,3678.88477611573,123.08297592290974,3868.4555154718055,54.0,0.10144833133620683,-1.5999495076438364,0.10143699603540929,-1.58305888141577,0.017583183067157993,0.6561152288477878
16,25,6,264.330530090726,3842.899620060988,123.08297592290974,3868.4555154718055,54.0,0.10144833133620683,-1.7910762017163906,0.10143699603540929,-1.786918607640179,0.017583183067157993,0.4100602326297172
17,21,6,103.34699834515416,4117.964937310308,123.08297592290974,3868.4555154718055,54.0,0.10144833133620683,-2.6731243290122984,0.10143699603540929,-2.6691691217037095,0.017583183067157993,0.746452069783399
18,38,7,292.2609771757026,3909.816818957042,137.03362976716522,3837.5668472098328,54.0,0.10144833133620683,-1.8386097961071568,0.10143699603540929,-1.8410891183814482,0.017583183067157993,0.4269914488720565
19,25,7,264.330530090726,3842.899620060988,137.03362976716522,3837.5668472098328,54.0,0.10144833133620683,-1.6904005179540147,0.10143699603540929,-1.6921455196187203,0.017583183067157993,0.3846767245018338
20,18,7,101.67141511603498,3674.484805454924,137.03362976716522,3837.5668472098328,54.0,0.10144833133620683,-1.4042083898961761,0.10143699603540929,-1.389419825218389,0.017583183067157993,0.5583967397133466
21,38,8,292.2609771757026,3909.816818957042,172.65571807246388,3903.30306557218,54.0,0.10144833133620683,-1.3700705759348857,0.10143699603540929,-1.3726453904160887,0.017583183067157993,0.26873606855527854
22,25,8,264.330530090726,3842.899620060988,172.65571807246388,3903.30306557218,54.0,0.10144833133620683,-1.0747511340329654,0.10143699603540929,-1.0807769222833035,0.017583183067157993,0.27332413331585204
23,18,8,122.91219023912598,3669.973659608032,172.65571807246388,3903.30306557218,54.0,0.10144833133620683,-2.3565424753218385,0.10143699603540929,-2.3459916733340798,0.017583183067157993,0.7738830717697125
24,18,9,119.10864313893713,3670.787988011353,161.89050717369193,3870.304886320098,54.0,0.10144833133620683,-1.9115962170750502,0.10143699603540929,-1.9001648405665765,0.017583183067157993,0.6701866111881669
25,18,10,126.52937545907687,3669.1679992851136,169.18230311230798,3841.7481574939534,54.0,0.10144833133620683,-1.6471158598414823,0.10143699603540929,-1.6424699329792187,0.017583183067157993,0.5983909774936728
26,53,10,275.4374088407163,3843.51011953928,169.18230311230798,3841.7481574939534,54.0,0.10144833133620683,-1.4928769574701597,0.10143699603540929,-1.4935327005271495,0.017583183067157993,0.3221375629287058
27,25,10,264.330530090726,3842.899620060988,169.18230311230798,3841.7481574939534,54.0,0.10144833133620683,-1.3398260356093865,0.10143699603540929,-1.339519404984713,0.017583183067157993,0.2848978199974474
28,38,10,292.2609771757026,3909.816818957042,169.18230311230798,3841.7481574939534,54.0,0.10144833133620683,-1.5011725572649786,0.10143699603540929,-1.5014325749140955,0.017583183067157993,0.3403006045145334
