rsn,eqid,ssn,eqX,eqY,staX,staY,zoneUTM,dc_0_mean,Lc_ca_mean,dc_0_med,Lc_ca_med,dc_0_unc,Lc_ca_unc
1,38,0,292.2609771757026,3909.816818957042,128.51496790687293,3913.739001202812,54.0,0.07606030902430613,-1.7350366854400996,0.07553729096575637,-1.7396182091620016,0.01594617448351716,0.35958775562135487
2,25,0,264.330530090726,3842.899620060988,128.51496790687293,3913.739001202812,54.0,0.07606030902430613,-1.5583233325171708,0.07553729096575637,-1.557160395059973,0.01594617448351716,0.3777142475412557
3,53,1,275.4374088407163,3843.51011953928,154.50504546553583,3901.5896026139903,54.0,0.07606030902430613,-1.3139770658630756,0.07553729096575637,-1.3117373297459134,0.01594617448351716,0.3193523553275188
4,38,1,292.2609771757026,3909.816818957042,154.50504546553583,3901.5896026139903,54.0,0.07606030902430613,-1.5156889942306682,0.07553729096575637,-1.5183989848670154,0.01594617448351716,0.29163543765697003
5,25,1,264.330530090726,3842.899620060988,154.50504546553583,3901.5896026139903,54.0,0.07606030902430613,-1.3012600854233265,0.07553729096575637,-1.2986630754435633,0.01594617448351716,0.3009445293977903
6,38,2,292.2609771757026,3909.816818957042,182.17667623346983,3902.5741380529994,54.0,0.07606030902430613,-1.2942609047655302,0.07553729096575637,-1.2957359327762168,0.01594617448351716,0.22506449707064713
7,28,2,181.0656949265822,4007.0767963031503,182.17667623346983,3902.5741380529994,54.0,0.07606030902430613,-1.1943120079630491,0.07553729096575637,-1.1946933141063716,0.01594617448351716,0.23605892529220676
8,25,2,264.330530090726,3842.899620060988,182.17667623346983,3902.5741380529994,54.0,0.07606030902430613,-0.9961368822870932,0.07553729096575637,-0.9983094853941004,0.01594617448351716,0.232918847839373
9,53,2,275.4374088407163,3843.51011953928,182.17667623346983,3902.5741380529994,54.0,0.07606030902430613,-1.0040951701710195,0.07553729096575637,-1.0064003625344298,0.01594617448351716,0.2502392960224341
10,38,3,292.2609771757026,3909.816818957042,187.83731878982752,3889.567114997888,54.0,0.07606030902430613,-1.0880080931111291,0.07553729096575637,-1.0927099179882587,0.01594617448351716,0.21701798964694619
11,25,3,264.330530090726,3842.899620060988,187.83731878982752,3889.567114997888,54.0,0.07606030902430613,-0.9460838732971969,0.07553729096575637,-0.9467291993323399,0.01594617448351716,0.20843021723977956
