rsn,eqid,ssn,eqX,eqY,staX,staY,zoneUTM,dc_0_mean,Lc_ca_mean,dc_0_med,Lc_ca_med,dc_0_unc,Lc_ca_unc
1,38,0,292.2609771757026,3909.816818957042,128.51496790687293,3913.739001202812,54.0,0.10795065928260948,-0.19959257376479067,0.1077338678064981,-0.19711785057850903,0.013829234949633331,0.09382947985824895
2,25,0,264.330530090726,3842.899620060988,128.51496790687293,3913.739001202812,54.0,0.10795065928260948,-0.23044245188441959,0.1077338678064981,-0.22738033654699868,0.013829234949633331,0.09351938217027222
3,53,1,275.4374088407163,3843.51011953928,154.50504546553583,3901.5896026139903,54.0,0.10795065928260948,-0.18671760658083947,0.1077338678064981,-0.18290651189631868,0.013829234949633331,0.07790085650750378
4,38,1,292.2609771757026,3909.816818957042,154.50504546553583,3901.5896026139903,54.0,0.10795065928260948,-0.1628494415620143,0.1077338678064981,-0.16062528029916032,0.013829234949633331,0.07707020146095475
5,25,1,264.330530090726,3842.899620060988,154.50504546553583,3901.5896026139903,54.0,0.10795065928260948,-0.18671771067298049,0.1077338678064981,-0.18386735280531843,0.013829234949633331,0.07451300086174169
6,38,2,292.2609771757026,3909.816818957042,182.17667623346983,3902.5741380529994,54.0,0.10795065928260948,-0.1311659248268671,0.1077338678064981,-0.12960382206560275,0.013829234949633331,0.060782155407945196
7,28,2,181.0656949265822,4007.0767963031503,182.17667623346983,3902.5741380529994,54.0,0.10795065928260948,-0.1540025814149327,0.1077338678064981,-0.1517373721125247,0.013829234949633331,0.06179490309449784
8,25,2,264.330530090726,3842.899620060988,182.17667623346983,3902.5741380529994,54.0,0.10795065928260948,-0.12846291462526324,0.1077338678064981,-0.12522243208872721,0.013829234949633331,0.05662896521062512
9,53,2,275.4374088407163,3843.51011953928,182.17667623346983,3902.5741380529994,54.0,0.10795065928260948,-0.12810688990848854,0.1077338678064981,-0.12394609996887973,0.013829234949633331,0.05977152648671022
10,38,3,292.2609771757026,3909.816818957042,187.83731878982752,3889.567114997888,54.0,0.10795065928260948,-0.12737463119037354,0.1077338678064981,-0.12459785693563794,0.013829234949633331,0.059458294240410874
11,25,3,264.330530090726,3842.899620060988,187.83731878982752,3889.567114997888,54.0,0.10795065928260948,-0.123654352378414,0.1077338678064981,-0.12119050990050048,0.013829234949633331,0.051270421132744645
12,25,4,264.330530090726,3842.899620060988,143.10717359488643,3838.030342010029,54.0,0.10795065928260948,-0.31198645562202465,0.1077338678064981,-0.3108466000691425,0.013829234949633331,0.08575622190058599
13,21,5,103.34699834515416,4117.964937310308,139.77999744006962,3872.595402570746,54.0,0.10795065928260948,-0.44608408088306417,0.1077338678064981,-0.4397444341551934,0.013829234949633331,0.16049012661448603
14,18,5,97.03457460542091,3675.453369364249,139.77999744006962,3872.595402570746,54.0,0.10795065928260948,-0.3034384416941316,0.1077338678064981,-0.2962757756498805,0.013829234949633331,0.1318339233728453
15,18,6,81.55980152094574,3678.88477611573,123.08297592290974,3868.4555154718055,54.0,0.10795065928260948,-0.24551661235299813,0.1077338678064981,-0.23650492438652623,0.013829234949633331,0.12101661614351297
16,25,6,264.330530090726,3842.899620060988,123.08297592290974,3868.4555154718055,54.0,0.10795065928260948,-0.3066854234482001,0.1077338678064981,-0.30574063190541445,0.013829234949633331,0.09586642471619353
17,21,6,103.34699834515416,4117.964937310308,123.08297592290974,3868.4555154718055,54.0,0.10795065928260948,-0.48256912277539793,0.1077338678064981,-0.4762678563529126,0.013829234949633331,0.16777396268797293
18,38,7,292.2609771757026,3909.816818957042,137.03362976716522,3837.5668472098328,54.0,0.10795065928260948,-0.2920134062299077,0.1077338678064981,-0.2895420751090858,0.013829234949633331,0.10424820292858877
19,25,7,264.330530090726,3842.899620060988,137.03362976716522,3837.5668472098328,54.0,0.10795065928260948,-0.3248299902381059,0.1077338678064981,-0.3236597905016705,0.013829234949633331,0.0901703209516003
20,18,7,101.67141511603498,3674.484805454924,137.03362976716522,3837.5668472098328,54.0,0.10795065928260948,-0.2455316535365073,0.1077338678064981,-0.24084378199117162,0.013829234949633331,0.10929391044033458
21,38,8,292.2609771757026,3909.816818957042,172.65571807246388,3903.30306557218,54.0,0.10795065928260948,-0.1415088489665293,0.1077338678064981,-0.13972152158438755,0.013829234949633331,0.0660214743098061
