rsn,eqid,ssn,eqX,eqY,staX,staY,zoneUTM,dc_0_mean,Lc_ca_mean,dc_0_med,Lc_ca_med,dc_0_unc,Lc_ca_unc
1,25,0,264.330530090726,3842.899620060988,128.51496790687293,3913.739001202812,54.0,0.0361378687373298,-0.42129794805867593,0.03569819013999038,-0.41334470955608166,0.012635252498927033,0.16255038297998478
2,38,0,292.2609771757026,3909.816818957042,128.51496790687293,3913.739001202812,54.0,0.0361378687373298,-0.460219570233386,0.03569819013999038,-0.456894425896624,0.012635252498927033,0.16997633727207725
3,53,1,275.4374088407163,3843.51011953928,154.50504546553583,3901.5896026139903,54.0,0.0361378687373298,-0.3504567828355925,0.03569819013999038,-0.3439895271627767,0.012635252498927033,0.13355916027507697
4,25,1,264.330530090726,3842.899620060988,154.50504546553583,3901.5896026139903,54.0,0.0361378687373298,-0.3527415456790932,0.03569819013999038,-0.34740997423077014,0.012635252498927033,0.130185499244464
5,38,1,292.2609771757026,3909.816818957042,154.50504546553583,3901.5896026139903,54.0,0.0361378687373298,-0.4016429184671005,0.03569819013999038,-0.40067253806544945,0.012635252498927033,0.141397650994816
6,25,2,264.330530090726,3842.899620060988,182.17667623346983,3902.5741380529994,54.0,0.0361378687373298,-0.25918120185971766,0.03569819013999038,-0.25518016331572124,0.012635252498927033,0.09904080486459839
7,28,2,181.0656949265822,4007.0767963031503,182.17667623346983,3902.5741380529994,54.0,0.0361378687373298,-0.22086487102765648,0.03569819013999038,-0.21644038660710113,0.012635252498927033,0.10622357229876085
8,38,2,292.2609771757026,3909.816818957042,182.17667623346983,3902.5741380529994,54.0,0.0361378687373298,-0.3430877212644795,0.03569819013999038,-0.3435001566814757,0.012635252498927033,0.11233668631482886
9,53,2,275.4374088407163,3843.51011953928,182.17667623346983,3902.5741380529994,54.0,0.0361378687373298,-0.2545144364886877,0.03569819013999038,-0.24937040719981426,0.012635252498927033,0.10174038450526397
10,25,3,264.330530090726,3842.899620060988,187.83731878982752,3889.567114997888,54.0,0.0361378687373298,-0.23579963860734138,0.03569819013999038,-0.23202063469628212,0.012635252498927033,0.08868725671295298
11,38,3,292.2609771757026,3909.816818957042,187.83731878982752,3889.567114997888,54.0,0.0361378687373298,-0.3318755990680271,0.03569819013999038,-0.3316155277140199,0.012635252498927033,0.10843505812634986
